accuracy,loss,val_accuracy,val_loss
0.5054032206535339,1.304758906364441,0.00040024015470407903,11.469781875610352
0.6435361504554749,0.8974059224128723,0.00040024015470407903,9.240997314453125
0.6861491799354553,0.7721450328826904,0.00040024015470407903,6.9594340324401855
0.7117645740509033,0.7017296552658081,0.00040024015470407903,6.309446811676025
0.7291750311851501,0.6555339694023132,0.00040024015470407903,6.120255947113037
0.7399689555168152,0.6242634654045105,0.00040024015470407903,5.163087844848633
0.7468355894088745,0.5973209142684937,0.00040024015470407903,4.562378406524658
0.7574920058250427,0.5754013657569885,0.006754052359610796,4.2190351486206055
0.7632579803466797,0.5601527094841003,0.11146687716245651,3.213284492492676
0.7711877226829529,0.5443278551101685,0.014908945187926292,2.9627671241760254
